Campaign,Ad group,Keyword,Match type,Final URL,Status
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,2008 honda civic battery replacement,Exact,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,2008 honda civic battery replacement,Phrase,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,honda civic battery replacement,Exact,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,honda civic battery replacement,Phrase,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,2008 civic battery replacement,Exact,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,2008 civic battery replacement,Phrase,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,2015 jeep cherokee headlight bulb replacement,Exact,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,2015 jeep cherokee headlight bulb replacement,Phrase,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,jeep cherokee headlight bulb replacement,Exact,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,jeep cherokee headlight bulb replacement,Phrase,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,2015 jeep cherokee headlight bulb,Exact,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,2015 jeep cherokee headlight bulb,Phrase,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,Enabled
US_Search_Repair_Winners_2026-03,2014 Nissan Altima Brake Pad Replacement,2014 nissan altima brake pad replacement,Exact,https://spotonauto.com/repair/2014/nissan/altima/brake-pad-replacement,Enabled
US_Search_Repair_Winners_2026-03,2014 Nissan Altima Brake Pad Replacement,2014 nissan altima brake pad replacement,Phrase,https://spotonauto.com/repair/2014/nissan/altima/brake-pad-replacement,Enabled
US_Search_Repair_Winners_2026-03,2014 Nissan Altima Brake Pad Replacement,nissan altima brake pad replacement,Exact,https://spotonauto.com/repair/2014/nissan/altima/brake-pad-replacement,Enabled
US_Search_Repair_Winners_2026-03,2014 Nissan Altima Brake Pad Replacement,nissan altima brake pad replacement,Phrase,https://spotonauto.com/repair/2014/nissan/altima/brake-pad-replacement,Enabled
US_Search_Repair_Winners_2026-03,2014 Nissan Altima Brake Pad Replacement,2014 altima brake pads,Exact,https://spotonauto.com/repair/2014/nissan/altima/brake-pad-replacement,Enabled
US_Search_Repair_Winners_2026-03,2014 Nissan Altima Brake Pad Replacement,2014 altima brake pads,Phrase,https://spotonauto.com/repair/2014/nissan/altima/brake-pad-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Nissan Altima Cabin Air Filter,2015 nissan altima cabin air filter replacement,Exact,https://spotonauto.com/repair/2015/nissan/altima/cabin-air-filter-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Nissan Altima Cabin Air Filter,2015 nissan altima cabin air filter replacement,Phrase,https://spotonauto.com/repair/2015/nissan/altima/cabin-air-filter-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Nissan Altima Cabin Air Filter,nissan altima cabin air filter replacement,Exact,https://spotonauto.com/repair/2015/nissan/altima/cabin-air-filter-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Nissan Altima Cabin Air Filter,nissan altima cabin air filter replacement,Phrase,https://spotonauto.com/repair/2015/nissan/altima/cabin-air-filter-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Nissan Altima Cabin Air Filter,2015 altima cabin filter change,Exact,https://spotonauto.com/repair/2015/nissan/altima/cabin-air-filter-replacement,Enabled
US_Search_Repair_Winners_2026-03,2015 Nissan Altima Cabin Air Filter,2015 altima cabin filter change,Phrase,https://spotonauto.com/repair/2015/nissan/altima/cabin-air-filter-replacement,Enabled
US_Search_Tools_Specs_2026-03,Chrysler 300 Battery Location,chrysler 300 battery location,Exact,https://spotonauto.com/tools/chrysler-300-battery-location,Enabled
US_Search_Tools_Specs_2026-03,Chrysler 300 Battery Location,chrysler 300 battery location,Phrase,https://spotonauto.com/tools/chrysler-300-battery-location,Enabled
US_Search_Tools_Specs_2026-03,Chrysler 300 Battery Location,where is the battery on a chrysler 300,Exact,https://spotonauto.com/tools/chrysler-300-battery-location,Enabled
US_Search_Tools_Specs_2026-03,Chrysler 300 Battery Location,where is the battery on a chrysler 300,Phrase,https://spotonauto.com/tools/chrysler-300-battery-location,Enabled
US_Search_Tools_Specs_2026-03,Chrysler 300 Battery Location,chrysler 300 battery size,Exact,https://spotonauto.com/tools/chrysler-300-battery-location,Enabled
US_Search_Tools_Specs_2026-03,Chrysler 300 Battery Location,chrysler 300 battery size,Phrase,https://spotonauto.com/tools/chrysler-300-battery-location,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Battery Location,bmw x3 battery location,Exact,https://spotonauto.com/tools/bmw-x3-battery-location,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Battery Location,bmw x3 battery location,Phrase,https://spotonauto.com/tools/bmw-x3-battery-location,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Battery Location,where is the battery on a bmw x3,Exact,https://spotonauto.com/tools/bmw-x3-battery-location,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Battery Location,where is the battery on a bmw x3,Phrase,https://spotonauto.com/tools/bmw-x3-battery-location,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Battery Location,bmw x3 battery size,Exact,https://spotonauto.com/tools/bmw-x3-battery-location,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Battery Location,bmw x3 battery size,Phrase,https://spotonauto.com/tools/bmw-x3-battery-location,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Oil Type,bmw x3 oil type,Exact,https://spotonauto.com/tools/bmw-x3-oil-type,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Oil Type,bmw x3 oil type,Phrase,https://spotonauto.com/tools/bmw-x3-oil-type,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Oil Type,bmw x3 oil capacity,Exact,https://spotonauto.com/tools/bmw-x3-oil-type,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Oil Type,bmw x3 oil capacity,Phrase,https://spotonauto.com/tools/bmw-x3-oil-type,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Oil Type,what oil does bmw x3 use,Exact,https://spotonauto.com/tools/bmw-x3-oil-type,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Oil Type,what oil does bmw x3 use,Phrase,https://spotonauto.com/tools/bmw-x3-oil-type,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Headlight Bulb,bmw x3 headlight bulb size,Exact,https://spotonauto.com/tools/bmw-x3-headlight-bulb,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Headlight Bulb,bmw x3 headlight bulb size,Phrase,https://spotonauto.com/tools/bmw-x3-headlight-bulb,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Headlight Bulb,bmw x3 low beam bulb,Exact,https://spotonauto.com/tools/bmw-x3-headlight-bulb,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Headlight Bulb,bmw x3 low beam bulb,Phrase,https://spotonauto.com/tools/bmw-x3-headlight-bulb,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Headlight Bulb,bmw x3 headlight bulb replacement,Exact,https://spotonauto.com/tools/bmw-x3-headlight-bulb,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Headlight Bulb,bmw x3 headlight bulb replacement,Phrase,https://spotonauto.com/tools/bmw-x3-headlight-bulb,Enabled
US_Search_Wiring_Intent_2026-03,2006 BMW X3 Alternator Wiring,2006 bmw x3 alternator wiring diagram,Exact,https://spotonauto.com/wiring/2006/bmw/x3/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 BMW X3 Alternator Wiring,2006 bmw x3 alternator wiring diagram,Phrase,https://spotonauto.com/wiring/2006/bmw/x3/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 BMW X3 Alternator Wiring,bmw x3 alternator wiring diagram,Exact,https://spotonauto.com/wiring/2006/bmw/x3/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 BMW X3 Alternator Wiring,bmw x3 alternator wiring diagram,Phrase,https://spotonauto.com/wiring/2006/bmw/x3/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 BMW X3 Alternator Wiring,2006 bmw x3 charging system wiring,Exact,https://spotonauto.com/wiring/2006/bmw/x3/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 BMW X3 Alternator Wiring,2006 bmw x3 charging system wiring,Phrase,https://spotonauto.com/wiring/2006/bmw/x3/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2008 Honda Civic Headlight Wiring,2008 honda civic headlight wiring diagram,Exact,https://spotonauto.com/wiring/2008/honda/civic/headlight,Enabled
US_Search_Wiring_Intent_2026-03,2008 Honda Civic Headlight Wiring,2008 honda civic headlight wiring diagram,Phrase,https://spotonauto.com/wiring/2008/honda/civic/headlight,Enabled
US_Search_Wiring_Intent_2026-03,2008 Honda Civic Headlight Wiring,honda civic headlight wiring diagram,Exact,https://spotonauto.com/wiring/2008/honda/civic/headlight,Enabled
US_Search_Wiring_Intent_2026-03,2008 Honda Civic Headlight Wiring,honda civic headlight wiring diagram,Phrase,https://spotonauto.com/wiring/2008/honda/civic/headlight,Enabled
US_Search_Wiring_Intent_2026-03,2008 Honda Civic Headlight Wiring,2008 honda civic headlamp circuit,Exact,https://spotonauto.com/wiring/2008/honda/civic/headlight,Enabled
US_Search_Wiring_Intent_2026-03,2008 Honda Civic Headlight Wiring,2008 honda civic headlamp circuit,Phrase,https://spotonauto.com/wiring/2008/honda/civic/headlight,Enabled
US_Search_Wiring_Intent_2026-03,2006 Ford Fusion Alternator Wiring,2006 ford fusion alternator wiring diagram,Exact,https://spotonauto.com/wiring/2006/ford/fusion/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 Ford Fusion Alternator Wiring,2006 ford fusion alternator wiring diagram,Phrase,https://spotonauto.com/wiring/2006/ford/fusion/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 Ford Fusion Alternator Wiring,ford fusion alternator wiring diagram,Exact,https://spotonauto.com/wiring/2006/ford/fusion/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 Ford Fusion Alternator Wiring,ford fusion alternator wiring diagram,Phrase,https://spotonauto.com/wiring/2006/ford/fusion/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 Ford Fusion Alternator Wiring,2006 ford fusion charging system wiring,Exact,https://spotonauto.com/wiring/2006/ford/fusion/alternator,Enabled
US_Search_Wiring_Intent_2026-03,2006 Ford Fusion Alternator Wiring,2006 ford fusion charging system wiring,Phrase,https://spotonauto.com/wiring/2006/ford/fusion/alternator,Enabled
