Query,Clicks,Impressions,CTR,Position
"bmw x5 headlight replacement",0,1,0.00%,46.0
"bmw x5 microfilter replacement",0,1,0.00%,72.0
"bmw x5 serpentine belt diagram",0,1,0.00%,47.0
"bmw x5 serpentine belt replacement",0,4,0.00%,67.5
"bmw x5 spark plug replacement",0,1,0.00%,47.0
"bmw x5 water pump replacement",0,2,0.00%,51.5
"brake repair",0,6,0.00%,17.7
"brake repair near me",0,2,0.00%,1.0
"brake repair services",0,1,0.00%,21.0
"car mechanic",0,1,0.00%,1.0
"car mechanic services",0,4,0.00%,6.0
"car repair flint mi",0,1,0.00%,26.0
"car repair near me",0,12,0.00%,1.8
"car repair places near me",0,1,0.00%,1.0
"car suspension",0,1,0.00%,41.0
"change oil bmw x5",0,1,0.00%,42.0
"change spark plugs subaru forester",0,1,0.00%,61.0
"changing brake pads ford focus",0,1,0.00%,79.0
"changing oil bmw x3",0,2,0.00%,82.0
"chevy equinox water pump replacement",0,2,0.00%,73.5
"chevy impala battery replacement",0,2,0.00%,83.5
"chevy impala water pump replacement",0,1,0.00%,49.0
"chevy malibu cabin air filter replacement",0,2,0.00%,88.5
"chevy malibu water pump replacement",0,3,0.00%,53.7
"chevy tahoe brake pad replacement",0,2,0.00%,65.0
"chevy tahoe oil change",0,3,0.00%,58.3
"chevy tahoe serpentine belt replacement",0,1,0.00%,45.0
"chevy tahoe starter replacement",0,1,0.00%,30.0
"chevy tahoe thermostat replacement",0,1,0.00%,49.0
"chevy tahoe water pump replacement",0,1,0.00%,39.0
"corolla battery replacement",0,1,0.00%,92.0
"engine replacement near me",0,1,0.00%,28.0
"f150 water pump replacement",0,1,0.00%,70.0
"fix my prius battery",0,2,0.00%,18.5
"flint auto repair",0,2,0.00%,10.0
"ford edge battery replacement",0,1,0.00%,70.0
"ford edge serpentine belt replacement",0,1,0.00%,32.0
"ford edge starter replacement",0,2,0.00%,60.5
"ford escape alternator removal",0,1,0.00%,91.0
"ford escape serpentine belt replacement",0,1,0.00%,48.0
"ford escape thermostat location",0,1,0.00%,50.0
"ford escape thermostat replacement",0,1,0.00%,61.0
"ford explorer headlight bulb replacement",0,1,0.00%,29.0
"ford explorer spark plug replacement",0,1,0.00%,40.0
"ford f150 serpentine belt replacement",0,1,0.00%,53.0
"ford f150 water pump replacement",0,1,0.00%,51.0
"ford focus brake pads change",0,1,0.00%,89.0
"ford focus starter location",0,1,0.00%,66.0
"ford focus starter replacement",0,1,0.00%,58.0
"ford fusion serpentine belt replacement",0,3,0.00%,79.7
"ford mustang gt battery replacement",0,1,0.00%,43.0
"glc thermostat",0,1,0.00%,11.0
"honda accord radiator repair",0,1,0.00%,47.0
"honda accord radiator replacement",0,1,0.00%,82.0
"honda accord serpentine belt replacement",0,1,0.00%,46.0
"honda accord water pump replacement",0,4,0.00%,45.8
"honda civic belt replacement",0,1,0.00%,56.0
"honda civic drive belt replacement",0,1,0.00%,58.0
"honda civic radiator replacement",0,1,0.00%,67.0
"honda civic serpentine belt replacement",0,1,0.00%,62.0
"honda civic starter motor location",0,1,0.00%,59.0
"honda civic starter replacement",0,1,0.00%,66.0
"honda civic water pump replacement",0,4,0.00%,70.3
"honda cr v battery replacement",0,2,0.00%,61.0
"honda cr-v battery replacement",0,2,0.00%,58.0
"honda crv engine air filter replacement",0,1,0.00%,67.0
"honda crv thermostat replacement",0,3,0.00%,74.0
"honda crv water pump replacement",0,1,0.00%,61.0
"honda fit alternator replacement",0,1,0.00%,29.0
"honda fit battery replacement",0,2,0.00%,58.5
"honda fit brake pads replacement",0,1,0.00%,49.0
"honda fit engine air filter replacement",0,1,0.00%,99.0
"honda fit headlight bulb replacement",0,1,0.00%,39.0
"honda fit headlight replacement",0,6,0.00%,45.5
"honda fit serpentine belt replacement",0,2,0.00%,39.0
"honda fit spark plug change",0,1,0.00%,36.0
"honda fit spark plug replacement",0,1,0.00%,36.0
"honda fit spark plug torque",0,1,0.00%,25.0
"honda fit starter replacement",0,1,0.00%,43.0
"honda odyssey air filter replacement",0,1,0.00%,85.0
"honda odyssey alternator replacement",0,1,0.00%,43.0
"honda odyssey engine air filter replacement",0,1,0.00%,79.0
"honda odyssey headlight replacement",0,1,0.00%,39.0
"honda odyssey replace headlight bulb",0,1,0.00%,67.0
"honda odyssey serpentine belt replacement",0,9,0.00%,33.2
"honda odyssey spark plug change",0,1,0.00%,65.0
"honda odyssey spark plug replacement",0,2,0.00%,44.0
"honda odyssey spark plugs replacement",0,1,0.00%,46.0
"honda odyssey starter motor location",0,5,0.00%,32.6
"honda odyssey starter replacement",0,5,0.00%,40.8
"honda odyssey tune up",0,2,0.00%,37.5
"honda odyssey water pump replacement",0,3,0.00%,47.0
"honda pilot 1995",0,1,0.00%,95.0
"honda pilot air filter location",0,1,0.00%,62.0
"honda pilot air filter replacement",0,1,0.00%,70.0
"honda pilot alternator removal",0,1,0.00%,79.0
"honda pilot alternator replacement",0,1,0.00%,27.0
"honda pilot battery location",0,1,0.00%,60.0
"honda pilot belt replacement",0,1,0.00%,47.0
"honda pilot headlight bulb replacement",0,1,0.00%,34.0
"honda pilot negative battery terminal",0,1,0.00%,54.0
"honda pilot radiator replacement",0,3,0.00%,53.0
"honda pilot serpentine belt replacement",0,3,0.00%,38.7
"honda pilot spark plug replacement",0,1,0.00%,62.0
"honda pilot starter replacement",0,2,0.00%,55.0
"honda pilot thermostat replacement",0,1,0.00%,35.0
"honda pilot water pump replacement",0,1,0.00%,58.0
"how to change air filter in 2015 chevy silverado",0,1,0.00%,77.0
"how to change headlight bulb nissan pathfinder",0,3,0.00%,89.0
"how to disconnect toyota corolla battery",0,1,0.00%,41.0
"how to fix hyundai sonata fan belt",0,1,0.00%,8.0
"how to remove a lightbulb from a 1990 toyota camry headlamp",0,5,0.00%,7.2
"how to replace prius battery",0,1,0.00%,91.0
"how to replace serpentine belt subaru forester",0,1,0.00%,9.0
"hyundai elantra battery removal",0,1,0.00%,36.0
"hyundai santa fe alternator replacement",0,2,0.00%,45.0
"hyundai santa fe starter replacement",0,4,0.00%,57.8
"hyundai sonata 1987",0,1,0.00%,95.0
"hyundai sonata battery replacement",0,1,0.00%,93.0
"hyundai tucson thermostat replacement",0,1,0.00%,31.0
"hyundai tucson water pump location",0,1,0.00%,9.0
"jeep cherokee radiator removal",0,1,0.00%,95.0
"jeep cherokee starter replacement",0,2,0.00%,72.5
"jeep cherokee water pump replacement",0,1,0.00%,38.0
"jeep grand cherokee belt replacement",0,1,0.00%,47.0
"jeep jk alternator replacement",0,1,0.00%,44.0
"jeep jk water pump location",0,1,0.00%,58.0
"jeep radiator repair",0,1,0.00%,60.0
"kia optima air filter replacement",0,1,0.00%,65.0
"kia optima brake pad replacement",0,1,0.00%,92.0
"kia optima serpentine belt replacement",0,1,0.00%,32.0
"kia optima starter replacement",0,2,0.00%,49.5
"kia sorento 1995",0,1,0.00%,10.0
"kia sorento battery replacement",0,2,0.00%,85.0
"kia sorento starter replacement",0,1,0.00%,76.0
"kia sorento thermostat replacement",0,1,0.00%,56.0
"kia soul alternator replacement",0,1,0.00%,28.0
"kia soul brake pad replacement",0,1,0.00%,29.0
"kia soul serpentine belt diagram",0,2,0.00%,39.0
"kia soul spark plug gap",0,1,0.00%,57.0
"kia soul spark plug replacement",0,3,0.00%,47.0
"kia soul starter location",0,1,0.00%,55.0
"kia soul starter replacement",0,2,0.00%,47.5
"kia soul thermostat location",0,2,0.00%,54.5
"kia soul water pump replacement",0,1,0.00%,28.0
"kia sportage battery location",0,1,0.00%,22.0
"kia sportage battery replacement",0,1,0.00%,81.0
"kia sportage serpentine belt replacement",0,1,0.00%,41.0
"kia sportage starter replacement",0,1,0.00%,72.0
"kia sportage water pump replacement",0,1,0.00%,28.0
"kia water pump replacement",0,1,0.00%,71.0
"maintenance mechanic",0,1,0.00%,13.0
"mechanic flint",0,1,0.00%,58.0
"mechanic near me",0,24,0.00%,6.2
"mechanic shop near me",0,2,0.00%,17.0
"mechanics open saturday",0,1,0.00%,9.0
"mercedes e class battery replacement",0,1,0.00%,94.0
"mercedes glc battery location",0,1,0.00%,46.0
"nissan altima spark plugs replacement",0,1,0.00%,61.0
"nissan altima starter location",0,1,0.00%,73.0
"nissan altima starter replacement",0,1,0.00%,54.0
"nissan altima thermostat replacement",0,2,0.00%,54.0
"nissan altima water pump replacement",0,1,0.00%,65.0
"nissan engine air filter replacement",0,1,0.00%,52.0
"nissan pathfinder battery location",0,1,0.00%,87.0
"nissan pathfinder headlight bulb replacement",0,1,0.00%,55.0
"nissan pathfinder serpentine belt replacement",0,1,0.00%,83.0
"nissan pathfinder starter replacement",0,1,0.00%,28.0
"nissan rogue 2011 headlight bulb replacement",0,1,0.00%,50.0
"nissan rogue alternator replacement",0,2,0.00%,44.5
"nissan rogue spark plug replacement",0,1,0.00%,58.0
"nissan rogue thermostat replacement",0,1,0.00%,27.0
"nissan rogue water pump replacement",0,1,0.00%,49.0
"nissan sentra serpentine belt replacement",0,1,0.00%,50.0
"nissan sentra spark plug replacement",0,2,0.00%,46.5
"nissan sentra starter replacement",0,2,0.00%,56.0
"nissan sentra thermostat replacement",0,1,0.00%,42.0
"nissan versa 2000",0,1,0.00%,13.0
"nissan versa alternator replacement",0,1,0.00%,47.0
"nissan versa battery replacement",0,1,0.00%,86.0
"nissan versa brake pads replacement",0,1,0.00%,57.0
"nissan versa serpentine belt replacement",0,5,0.00%,54.8
"nissan versa spark plugs replacement",0,1,0.00%,29.0
"nissan versa water pump replacement",0,1,0.00%,32.0
"nissan water pump replacement",0,2,0.00%,40.5
"oil change",0,2,0.00%,41.0
"oil change bmw x3",0,9,0.00%,85.3
"oil change flint",0,1,0.00%,36.0
"oil change flint mi",0,1,0.00%,14.0
"oil change hyundai tucson",0,1,0.00%,41.0
"pathfinder battery replacement",0,1,0.00%,38.0
"pathfinder oil change",0,1,0.00%,44.0
"prius battery repair",0,1,0.00%,44.0
"prius brake pad replacement",0,1,0.00%,35.0
"replace 2003 tacoma front brakes",0,8,0.00%,24.8
"replace honda crv battery",0,1,0.00%,73.0
"replace honda pilot headlight bulb",0,1,0.00%,49.0
"replace serpentine belt subaru forester",0,3,0.00%,56.7
"replace starter honda crv",0,1,0.00%,92.0
"replace starter toyota corolla",0,1,0.00%,58.0
"replace subaru forester battery",0,1,0.00%,87.0
"replace subaru outback battery",0,1,0.00%,74.0
"replace water pump jeep",0,2,0.00%,50.5
"replace water pump toyota corolla",0,2,0.00%,50.0
"replacing honda crv battery",0,2,0.00%,62.0
"say again",0,1,0.00%,6.0
"serpentine belt replacement honda civic",0,1,0.00%,31.0
"serpentine belt replacement honda odyssey",0,2,0.00%,55.0
"sienna battery location",0,2,0.00%,87.5
"spot",0,3,0.00%,4.7
"spot change",0,1,0.00%,6.0
"spot on",0,7,0.00%,4.7
"spot on auto",0,12,0.00%,3.2
"spot on automotive",0,1,0.00%,39.0
"steering and suspension",0,4,0.00%,31.0
"steering and suspension services",0,2,0.00%,41.0
"step by step",0,1,0.00%,4.0
"subaru crosstrek alternator replacement",0,5,0.00%,75.2
"subaru crosstrek headlight replacement",0,2,0.00%,39.0
"subaru crosstrek radiator replacement",0,1,0.00%,73.0
"subaru crosstrek water pump replacement",0,1,0.00%,63.0
"subaru forester air filter replacement",0,2,0.00%,71.5
"subaru forester battery location",0,1,0.00%,71.0
"subaru forester engine air filter replacement",0,1,0.00%,74.0
"subaru forester headlight bulb replacement",0,1,0.00%,56.0
"subaru forester serpentine belt replacement",0,4,0.00%,57.8
"subaru forester spark plug change",0,1,0.00%,41.0
"subaru forester spark plug replacement",0,1,0.00%,33.0
"subaru forester starter replacement",0,1,0.00%,59.0
"subaru forester thermostat replacement",0,1,0.00%,60.0
"subaru headlight bulb replacement",0,2,0.00%,74.0
"subaru outback alternator replacement",0,1,0.00%,66.0
"subaru outback headlight bulb replacement",0,1,0.00%,60.0
"subaru outback serpentine belt replacement",0,1,0.00%,47.0
"subaru outback starter location",0,4,0.00%,50.3
"subaru outback starter replacement",0,2,0.00%,59.5
"subaru starter repair",0,3,0.00%,75.0
"subaru water pump location",0,1,0.00%,49.0
"suburban thermostat replacement",0,1,0.00%,77.0
"tacoma headlight bulb replacement",0,1,0.00%,40.0
"thermostat for 2001 ford f150",0,2,0.00%,65.0
"thermostat replacement jeep grand cherokee",0,1,0.00%,47.0
"toyota alternator repair",0,4,0.00%,51.8
"toyota camry alternator removal",0,1,0.00%,82.0
"toyota camry alternator repair",0,1,0.00%,73.0
"toyota camry battery positive negative",0,1,0.00%,57.0
"toyota corolla 2013 battery size",0,1,0.00%,72.0
"toyota corolla alternator location",0,1,0.00%,70.0
"toyota corolla alternator repair",0,2,0.00%,57.5
"toyota corolla alternator replacement",0,2,0.00%,38.5
"toyota corolla battery replacement",0,4,0.00%,90.0
"toyota corolla belt replacement",0,1,0.00%,55.0
"toyota corolla brake rotor replacement guidelines",0,1,0.00%,18.0
"toyota corolla drive belt replacement",0,1,0.00%,52.0
"toyota corolla headlight bulb replacement",0,1,0.00%,46.0
"toyota corolla serpentine belt replacement",0,1,0.00%,34.0
"toyota corolla water pump replacement",0,1,0.00%,75.0
"toyota highlander serpentine belt replacement",0,1,0.00%,77.0
"toyota prius battery repair",0,4,0.00%,76.5
"toyota prius brake pad replacement",0,1,0.00%,31.0
"toyota prius brake pads replacement",0,1,0.00%,59.0
"toyota prius water pump replacement",0,2,0.00%,44.0
"toyota sienna alternator replacement",0,1,0.00%,30.0
"toyota sienna battery location",0,2,0.00%,76.5
"toyota sienna battery replacement",0,2,0.00%,54.0
"toyota sienna serpentine belt replacement",0,1,0.00%,44.0
"toyota sienna spark plug replacement",0,1,0.00%,45.0
"toyota sienna water pump replacement",0,2,0.00%,40.0
"toyota tacoma belt replacement",0,1,0.00%,61.0
"toyota tacoma serpentine belt replacement",0,1,0.00%,54.0
"toyota tacoma thermostat replacement",0,1,0.00%,63.0
"toyota tacoma water pump replacement",0,1,0.00%,42.0
"toyota tundra alternator location",0,1,0.00%,73.0
"toyota tundra brake pad replacement",0,2,0.00%,61.5
"toyota tundra headlight bulb replacement",0,3,0.00%,35.0
"toyota tundra spark plug replacement",0,1,0.00%,43.0
"toyota tundra water pump replacement",0,2,0.00%,72.0
"tucson alternator exchange",0,1,0.00%,47.0
"tundra starter replacement",0,1,0.00%,44.0
"vehicle ac repair near me burton",0,5,0.00%,9.0
"where is battery in bmw x3",0,1,0.00%,83.0
"where is battery on bmw x3",0,1,0.00%,72.0
"where is battery on bmw x5",0,1,0.00%,69.0
"where is the battery in a bmw x3",0,1,0.00%,65.0
"where is the battery located on a prius",0,1,0.00%,84.0
"where is the battery on a bmw x5",0,2,0.00%,72.0
"where is the negative battery terminal on a honda pilot",0,1,0.00%,45.0
"where is the starter located?",0,1,0.00%,6.0
"where is the starter on a honda pilot",0,1,0.00%,21.0
"where is the starter on a subaru outback",0,1,0.00%,89.0
"x5 battery location",0,1,0.00%,44.0
"x5 battery replacement",0,2,0.00%,76.5
"x5 bmw battery location",0,1,0.00%,43.0